日期,臺灣加權指數開盤價,臺灣加權指數收盤價,臺灣加權指數成交量,納斯達克指數開盤價,納斯達克指數收盤價,納斯達克指數成交量,美國公債殖利率1月期,美國公債殖利率3月期,美國公債殖利率6月期,美國公債殖利率1年期,美國公債殖利率2年期,美國公債殖利率3年期,美國公債殖利率5年期,美國公債殖利率7年期,美國公債殖利率10年期,美國公債殖利率20年期,美國公債殖利率30年期,新臺幣兌美元即期銀行與顧客間買進匯率,新臺幣兌美元即期銀行與顧客間賣出匯率,新臺幣兌美元即期銀行間收盤匯率,遠期信用狀美金年利率,新臺幣兌美元10天買入匯率,新臺幣兌美元10天賣出匯率,新臺幣兌美元30天買入匯率,新臺幣兌美元30天賣出匯率,新臺幣兌美元60天買入匯率,新臺幣兌美元60天賣出匯率,新臺幣兌美元90天買入匯率,新臺幣兌美元90天賣出匯率,新臺幣兌美元120天買入匯率,新臺幣兌美元120天賣出匯率,新臺幣兌美元180天買入匯率,新臺幣兌美元180天賣出匯率,總指數(含食物)(指數基期：民國110年=100)年增率(%),商品類(不含食物)(指數基期：民國110年=100)年增率(%),核心商品(指數基期：民國110年=100)年增率(%),非核心商品(即蔬果及能源)(指數基期：民國110年=100)年增率(%),非耐久性消費品(不含食物)(指數基期：民國110年=100)年增率(%),半耐久性消費品(指數基期：民國110年=100)年增率(%),耐久性消費品(指數基期：民國110年=100)年增率(%),服務類(指數基期：民國110年=100)年增率(%),外食費(指數基期：民國110年=100)年增率(%),交通及通訊服務(指數基期：民國110年=100)年增率(%),醫療保健服務(指數基期：民國110年=100)年增率(%),總指數(不含食物)(指數基期：民國110年=100)年增率(%),總指數(不含蔬菜水果)(指數基期：民國110年=100)年增率(%),總指數(不含蔬果及能源)【即核心物價】(指數基期：民國110年=100)年增率(%),總指數(不含食物及能源)(指數基期：民國110年=100)年增率(%),總指數(不含蔬果水產及能源)(指數基期：民國110年=100)年增率(%),總指數(不含設算租金)(指數基期：民國110年=100)年增率(%),能源(含燃氣、電費、油料費)(指數基期：民國110年=100)年增率(%)
1420128000,0,0,0,4760.240234,4726.810059,1435150000,0.02,0.02,0.11,0.25,0.66,1.07,1.61,1.92,2.12,2.41,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420387200,9292.309570,9274.110352,2311000,4700.339844,4652.569824,1794470000,0.02,0.03,0.1,0.26,0.68,1.06,1.57,1.85,2.04,2.32,2.6,31.90,32.00,32.005,6.20,31.897,32.012,31.890,32.016,31.882,32.014,31.868,32.010,31.849,31.991,31.810,31.970,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420473600,9209.929688,9048.339844,2725800,4666.850098,4592.740234,2167320000,0.02,0.03,0.1,0.25,0.65,1.02,1.5,1.78,1.97,2.25,2.52,31.93,32.03,31.996,6.20,31.922,32.037,31.916,32.041,31.908,32.040,31.892,32.035,31.875,32.020,31.840,32.002,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420560000,9051.940430,9080.089844,2384100,4626.839844,4650.470215,1957950000,0.02,0.03,0.09,0.25,0.62,1,1.47,1.76,1.96,2.25,2.52,31.93,32.03,32.001,6.20,31.927,32.042,31.921,32.046,31.914,32.046,31.899,32.040,31.886,32.029,31.856,32.014,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420646400,9154.030273,9238.030273,2657600,4689.540039,4736.189941,2105450000,0.01,0.03,0.08,0.23,0.62,1,1.5,1.81,2.03,2.33,2.59,31.94,32.04,32.006,6.20,31.937,32.052,31.930,32.055,31.924,32.055,31.909,32.050,31.893,32.037,31.865,32.023,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420732800,9247.400391,9215.580078,2398800,4744.470215,4704.069824,1715830000,0.02,0.02,0.08,0.22,0.59,0.96,1.45,1.75,1.98,2.29,2.55,31.86,31.96,31.936,6.20,31.857,31.972,31.850,31.975,31.844,31.975,31.828,31.970,31.813,31.956,31.784,31.942,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1420992000,9198.019531,9178.299805,2205700,4714.069824,4664.709961,1861960000,0.02,0.03,0.09,0.19,0.56,0.91,1.39,1.69,1.92,2.23,2.49,31.80,31.90,31.856,6.20,31.797,31.912,31.790,31.916,31.783,31.915,31.768,31.911,31.755,31.897,31.724,31.881,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1421078400,9162.769531,9231.799805,2324800,4708.740234,4661.500000,2162180000,0.02,0.03,0.08,0.2,0.54,0.88,1.37,1.67,1.91,2.24,2.49,31.78,31.88,31.862,6.20,31.772,31.887,31.765,31.891,31.760,31.891,31.745,31.888,31.730,31.877,31.702,31.860,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1421164800,9235.900391,9180.230469,2271500,4610.759766,4639.319824,2073810000,0.02,0.04,0.09,0.18,0.51,0.83,1.33,1.62,1.86,2.2,2.47,31.74,31.84,31.832,6.20,31.737,31.852,31.731,31.856,31.725,31.856,31.710,31.851,31.696,31.839,31.666,31.823,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
1421251200,9197.320313,9165.089844,2210200,4657.459961,4570.819824,1976260000,0.03,0.03,0.08,0.16,0.44,0.75,1.22,1.53,1.77,2.12,2.4,31.67,31.77,31.786,6.20,31.667,31.782,31.661,31.786,31.655,31.786,31.640,31.782,31.620,31.770,31.592,31.751,-0.2,-7.4,0.72,-15.45,-13.77,0.01,-1.94,2.36,3.75,1.66,0.36,-1.37,-0.24,1.79,1.2,1.67,-0.42,-25.51
